object,Sample.Label,size,distance,Effort
990,3221,1,4.5,20
991,3221,1,4.5,20
992,3222,1,5.2,20
993,3222,1,5.3,20
994,3223,1,1.2,20
995,3223,1,1.2,20
996,3223,1,1.1,20
997,3223,1,1.6,20
999,3224,1,1,20
1000,3224,1,1.2,20
1002,3224,1,2.5,20
1003,3224,1,1,20
1004,3224,1,2.4,20
1005,3224,1,0.2,20
1006,3224,1,0.7,20
1008,3224,1,0.5,20
1009,3224,1,1.5,20
1010,3226,1,1,20
1011,3226,1,1.2,20
1012,3226,1,0,20
1013,3226,1,0.9,20
1015,3227,1,1.6,20
1020,3229,1,1.5,20
1021,3229,1,1.6,20
1022,3229,1,0.2,20
1023,3229,1,0.7,20
1024,3229,1,1.9,20
1025,3229,1,2.5,20
1026,3232,1,3.5,20
1027,3232,1,3.3,20
1028,3232,1,3.2,20
1029,3232,1,3.5,20
1030,3232,1,3.7,20
1031,3232,1,3.8,20
1032,3232,1,4.2,20
1033,3232,1,3.6,20
1034,3232,1,3.6,20
1046,3255,1,0,20
1047,3255,1,0.4,20
1048,3255,1,1.2,20
1049,3255,1,2.5,20
1050,3255,1,2.4,20
1051,3255,1,1.3,20
1052,3260,1,1.2,20
1054,3261,1,2.2,20
1055,3261,1,1.2,20
1056,3261,1,1,20
1057,3263,1,3.1,20
1058,3263,1,2.8,20
1059,3267,1,1,20
1060,3267,1,1.2,20
1061,3267,1,1.2,20
1062,3267,1,1.5,20
1063,3267,1,0.5,20
1064,3267,1,1,20
1065,3267,1,0.5,20
1066,3268,1,0.4,20
1067,3269,1,0.3,20
1068,3269,1,0.1,20
1069,3269,1,0.2,20
1070,3269,1,0.5,20
1071,3269,1,0.4,20
1072,3269,1,1.5,20
1075,3269,1,3.8,20
1076,3269,1,3.4,20
1077,3281,1,1.5,20
1078,3281,1,0.2,20
1079,3281,1,1.6,20
1080,3281,1,0.3,20
1081,3281,1,0.1,20
1083,3283,1,1.2,20
1084,3285,1,3.6,20
1085,3285,1,3.5,20
1086,3286,1,3,20
1087,3286,1,3.2,20
1088,3286,1,1.3,20
1089,3287,1,0.9,20
1090,3287,1,0.3,20
1091,3287,1,0.8,20
1092,3287,1,2,20
1093,3287,1,0.3,20
1094,3287,1,2.6,20
1095,3287,1,1.3,20
1096,3288,1,1.5,20
1097,3291,1,1,20
1098,3292,1,1.8,20
