join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
2500,TR142,D,-54.758052,158.800281,254.29422,2018-03-01T05:00:58Z,WHP,B,0,U,S,PP,8
2500,TR142,D,-54.75806398,158.800383,261.898224,2018-03-01T05:01:40Z,WHP,B,0.9,D,S,PP,8
174,TR142,C,-54.75801897,158.800458,253.929108,2018-03-01T05:03:48Z,WHP,B,2.7,D,S,PP,3
174,TR142,C,-54.75801897,158.800458,253.929108,2018-03-01T05:03:50Z,WHP,B,2.7,D,S,PP,3
2500,TR142,D,-54.75808896,158.800386,257.420532,2018-03-01T05:02:18Z,WHP,B,2.7,D,S,PP,8
174,TR142,C,-54.75807798,158.80047,253.945404,2018-03-01T05:03:16Z,WHP,B,2.6,D,S,PP,3
174,TR142,C,-54.75799299,158.800681,251.4617,2018-03-01T05:05:04Z,WHP,B,0.6,D,S,PP,3
174,TR142,C,-54.75798201,158.800717,254.76355,2018-03-01T05:05:16Z,WHP,B,0.2,D,S,PP,3
174,TR142,C,-54.75797698,158.800638,254.482697,2018-03-01T05:04:32Z,WHP,B,1,D,S,PP,3
174,TR142,C,-54.75800104,158.800691,251.685654,2018-03-01T05:04:50Z,WHP,B,1.3,D,S,PP,3
2476,TR141,B,-54.77134201,158.814107,259.980591,2018-02-24T00:54:26Z,WHP,B,6,U,S,JB,8
2476,TR141,B,-54.77134201,158.814107,259.466766,2018-02-24T00:54:32Z,WHP,B,6.4,U,S,JB,8
2476,TR141,B,-54.77133396,158.814085,261.067932,2018-02-24T00:54:03Z,WHP,B,2.4,U,S,JB,8
2476,TR141,B,-54.77134,158.81411,259.994354,2018-02-24T00:54:21Z,WHP,B,5.5,U,S,JB,8
2476,TR141,B,-54.77142499,158.814375,251.812668,2018-02-24T00:56:06Z,WHP,B,7,U,S,JB,8
2476,TR141,B,-54.77133798,158.814303,256.156219,2018-02-24T00:55:03Z,WHP,B,3.2,U,S,JB,8
2476,TR141,B,-54.77133698,158.814299,255.569458,2018-02-24T00:55:08Z,WHP,B,4,U,S,JB,8
2456,TR141,B,-54.77134603,158.81486,237.73909,2018-02-24T00:57:35Z,WHP,B,10,U,S,JB,5
2456,TR141,B,-54.77145399,158.814965,236.560699,2018-02-24T00:57:59Z,WHP,B,3,U,S,JB,5
2456,TR141,B,-54.77144502,158.814877,239.319275,2018-02-24T00:56:58Z,WHP,B,1.8,U,S,JB,5
2456,TR141,B,-54.77146204,158.814874,238.312027,2018-02-24T00:57:15Z,WHP,B,3,U,S,JB,5
2469,TR141,B,-54.771484,158.815379,222.81958,2018-02-24T00:59:15Z,WHP,B,5,U,S,JB,1
2469,TR141,B,-54.77148199,158.815383,222.334213,2018-02-24T00:59:18Z,WHP,B,4.1,U,S,JB,1
2469,TR141,B,-54.77142298,158.815296,223.44548,2018-02-24T00:58:50Z,WHP,B,3.3,U,S,JB,1
2469,TR141,B,-54.77147704,158.815371,223.367661,2018-02-24T00:59:10Z,WHP,B,4.2,U,S,JB,1
2476,TR141,B,-54.77134502,158.813637,276.533386,2018-02-24T00:48:51Z,WHP,B,5,U,S,JB,8
2476,TR141,B,-54.77127001,158.813728,273.082092,2018-02-24T00:49:16Z,WHP,B,4.5,U,S,JB,8
2476,TR141,B,-54.77129599,158.813761,271.601868,2018-02-24T00:50:11Z,WHP,B,1.2,U,S,JB,8
2476,TR141,B,-54.77130203,158.813764,271.601868,2018-02-24T00:50:14Z,WHP,B,1.5,U,S,JB,8
2476,TR141,B,-54.77128099,158.813744,272.144531,2018-02-24T00:49:53Z,WHP,B,3,U,S,JB,8
2476,TR141,B,-54.77135399,158.813877,268.195801,2018-02-24T00:51:01Z,WHP,B,1.5,U,S,JB,8
2476,TR141,B,-54.77136799,158.81384,270.45343,2018-02-24T00:50:41Z,WHP,B,3.5,U,S,JB,8
2476,TR141,B,-54.77134301,158.813879,268.741577,2018-02-24T00:50:55Z,WHP,B,0.4,U,S,JB,8
2476,TR141,B,-54.77133103,158.81405,262.537659,2018-02-24T00:53:34Z,WHP,B,3.8,U,S,JB,8
2476,TR141,B,-54.77133304,158.814051,262.652588,2018-02-24T00:53:40Z,WHP,B,2.5,U,S,JB,8
2476,TR141,B,-54.77134796,158.814009,263.881287,2018-02-24T00:53:02Z,WHP,B,0.4,U,S,JB,8
2476,TR141,B,-54.77140303,158.814008,263.864532,2018-02-24T00:53:16Z,WHP,B,7,U,S,JB,8
2507,TR143,A,-54.752472,158.806612,182.812454,2018-03-01T05:42:38Z,WHP,B,1,D,S,PP,8
2507,TR143,A,-54.75174998,158.806659,181.02034,2018-03-01T05:44:09Z,WHP,B,2.3,U,S,PP,8
2515,TR144,A,-54.75207897,158.807123,172.959442,2018-03-01T06:05:01Z,WHP,B,0.4,D,S,PP,5
2515,TR144,A,-54.75208199,158.807139,173.912048,2018-03-01T06:05:14Z,WHP,B,0.4,D,S,PP,5
2535,TR144,A,-54.75188904,158.806896,176.342987,2018-03-01T06:03:54Z,WHP,B,0.8,D,S,PP,8
