join_tr_se,transect,join_sec,lat,lon,ele,time,distance,slope,veg_height,observer,join_ufcm
2763,TR166,A,-54.73537099,158.834273,316.306824,2018-03-03T23:39:22Z,2.8,D,S,JB,2
2763,TR166,A,-54.73534198,158.834294,315.804688,2018-03-03T23:39:41Z,1.9,D,S,JB,2
2763,TR166,A,-54.73519002,158.834896,297.724365,2018-03-03T23:43:09Z,2.6,D,S,JB,2
2763,TR166,A,-54.73518902,158.834899,297.724365,2018-03-03T23:43:14Z,3.2,D,S,JB,2
2763,TR166,A,-54.73527099,158.834904,298.76474,2018-03-03T23:42:44Z,3.6,D,S,JB,2
2763,TR166,A,-54.73524098,158.834926,298.25882,2018-03-03T23:42:53Z,2.2,D,S,JB,2
2842,TR173,A,-54.70751801,158.850294,237.569473,2018-03-04T23:52:59Z,2.2,U,S,PP,8
2842,TR173,A,-54.70751801,158.850294,238.092346,2018-03-04T23:53:11Z,1.1,U,S,PP,8
2841,TR173,A,-54.70745397,158.850926,202.930832,2018-03-04T23:47:03Z,1.5,U,S,PP,8
2841,TR173,A,-54.70745397,158.850926,202.930832,2018-03-04T23:47:06Z,1.6,U,S,PP,8
2842,TR173,A,-54.70753301,158.850236,238.572113,2018-03-04T23:53:54Z,2.5,U,S,PP,8
2842,TR173,A,-54.707531,158.850229,238.572113,2018-03-04T23:54:03Z,2,U,S,PP,8
2842,TR173,A,-54.70751901,158.85028,238.092346,2018-03-04T23:53:19Z,1.3,U,S,PP,8
2842,TR173,A,-54.70752999,158.850227,238.572113,2018-03-04T23:53:43Z,4,U,S,PP,8
2842,TR173,A,-54.70751599,158.850182,241.129471,2018-03-04T23:54:59Z,1.4,U,S,PP,8
2842,TR173,A,-54.70751801,158.850182,242.172531,2018-03-04T23:55:26Z,3.3,U,S,PP,8
2842,TR173,A,-54.70753402,158.850234,239.085037,2018-03-04T23:54:22Z,1,U,S,PP,8
2842,TR173,A,-54.707517,158.850188,240.59343,2018-03-04T23:54:44Z,1.3,U,S,PP,8
2842,TR173,A,-54.707431,158.849922,254.391632,2018-03-04T23:59:10Z,0.2,U,S,PP,8
2842,TR173,A,-54.70736202,158.849801,258.435699,2018-03-05T00:00:02Z,2.3,U,S,PP,8
2842,TR173,A,-54.70746201,158.850019,248.405167,2018-03-04T23:57:59Z,0.5,U,S,PP,8
2806,TR171,A,-54.72883402,158.832397,309.402893,2018-03-04T02:51:02Z,4.9,F,S,PP,2
2806,TR171,A,-54.72884098,158.8324,309.402893,2018-03-04T02:51:08Z,4.9,F,S,PP,2
2806,TR171,A,-54.728845,158.832378,309.406219,2018-03-04T02:50:48Z,3.5,F,S,PP,2
2806,TR171,A,-54.72884601,158.832389,309.406219,2018-03-04T02:50:54Z,7.5,F,S,PP,2
229,TR172,A,-54.70745103,158.851916,156.483704,2018-03-04T22:52:07Z,0.2,U,T,PP,4
2800,TR171,A,-54.72294498,158.837281,235.041534,2018-03-04T02:33:45Z,1.3,U,S,PP,5
2800,TR171,A,-54.722948,158.837277,235.041534,2018-03-04T02:33:56Z,1.2,U,S,PP,5
2800,TR171,A,-54.72285697,158.837258,233.512817,2018-03-04T02:32:56Z,4.1,U,S,PP,5
2800,TR171,A,-54.72292696,158.837264,235.050903,2018-03-04T02:33:34Z,4,U,S,PP,5
2800,TR171,A,-54.72297499,158.837216,236.728958,2018-03-04T02:34:27Z,4.9,U,S,PP,5
